Date Key,Store Key,Product Key,Product Department,Product Description,Transaction No.#,Sales Amount(CAD),Units Sold
20220512,6,P043,Computing Devices,Product 3,TN0430,199.8,10
20230313,2,P033,Televisions,Product 10,TN0431,4653.73,9
20231123,2,P043,Wearable Tech,Product 4,TN0432,945.71,7
20220507,2,P015,Drones,Product 17,TN0433,1034.59,4
20220824,5,P030,Smartphones,Product 22,TN0434,3682.2,1
20220730,1,P026,Smartphones,Product 41,TN0435,1753.77,8
20221221,1,P029,Action Cameras,Product 17,TN0436,3364.36,4
20220412,1,P034,Smart Home,Product 48,TN0437,2435.46,10
20230220,2,P001,Wearable Tech,Product 32,TN0438,352.5,7
20221006,1,P007,VR Devices,Product 32,TN0439,3362.89,1
20220113,6,P001,Gaming Consoles,Product 21,TN0440,4492.31,9
20221126,5,P015,Smartphones,Product 26,TN0441,3506.32,4
20231120,6,P047,Televisions,Product 26,TN0442,1196.89,4
20230728,7,P041,Audio Devices,Product 18,TN0443,814.53,9
20230112,1,P026,Wearable Tech,Product 23,TN0444,2553.09,1
20220302,6,P025,Computing Devices,Product 1,TN0445,248.71,5
20231204,3,P014,E-readers,Product 43,TN0446,4321.98,5
20221018,4,P028,E-readers,Product 20,TN0447,1376.18,3
20220312,2,P043,E-readers,Product 48,TN0448,3923.98,9
20220902,1,P028,VR Devices,Product 43,TN0449,4560.43,9
20230625,5,P035,Computing Devices,Product 43,TN0450,3448.59,2
20230101,7,P004,Computing Devices,Product 1,TN0451,2535.79,7
20220101,5,P002,Drones,Product 4,TN0452,785.36,1
20220304,4,P046,Smartphones,Product 42,TN0453,1312.16,3
20221025,2,P045,Gaming Consoles,Product 30,TN0454,1926.08,1
20220826,7,P001,Gaming Consoles,Product 35,TN0455,963.2,4
20230318,6,P038,Smartphones,Product 32,TN0456,4528.81,5
20220311,7,P017,Imaging Devices,Product 18,TN0457,4836.26,9
20230522,5,P046,Televisions,Product 45,TN0458,579.62,9
20230724,3,P042,E-readers,Product 13,TN0459,3056.3,4
20220301,1,P047,E-readers,Product 44,TN0460,1633.76,10
20220306,3,P050,E-readers,Product 36,TN0461,1738.75,3
20230202,6,P015,VR Devices,Product 14,TN0462,4061.36,7
20230224,5,P014,Wearable Tech,Product 24,TN0463,4516.47,1
20220512,1,P049,Imaging Devices,Product 35,TN0464,4361.46,6
20220814,1,P012,Smartphones,Product 40,TN0465,1682.11,3
20230608,4,P017,Drones,Product 18,TN0466,1373.04,8
20230516,2,P049,Drones,Product 1,TN0467,810.81,7
20230721,6,P025,E-readers,Product 12,TN0468,840.91,5
20231226,1,P027,Imaging Devices,Product 25,TN0469,2694.92,5
20220702,1,P037,Gaming Consoles,Product 8,TN0470,3846.23,10
20230712,1,P018,Action Cameras,Product 46,TN0471,160.28,4
20230819,7,P001,Gaming Consoles,Product 20,TN0472,1895.34,10
20230703,6,P027,E-readers,Product 31,TN0473,2520.35,9
20221128,1,P004,Imaging Devices,Product 14,TN0474,4962.81,10
20230605,7,P010,Smartphones,Product 15,TN0475,780.01,8
20220331,6,P023,Smartphones,Product 10,TN0476,1807.27,2
20230212,2,P019,Smartphones,Product 42,TN0477,3149.0,3
20220403,7,P021,VR Devices,Product 20,TN0478,2298.08,1
20220623,7,P007,Computing Devices,Product 23,TN0479,2972.59,10
20220422,4,P036,Action Cameras,Product 40,TN0480,919.38,3
20230605,5,P029,Computing Devices,Product 27,TN0481,4723.5,8
20230107,4,P007,Wearable Tech,Product 19,TN0482,3499.26,5
20230702,5,P031,Smartphones,Product 32,TN0483,3091.87,8
20220819,3,P031,Computing Devices,Product 35,TN0484,2822.27,1
20230103,5,P003,Gaming Consoles,Product 6,TN0485,3634.27,8
20221024,2,P028,VR Devices,Product 31,TN0486,2651.17,3
20221231,2,P018,Action Cameras,Product 32,TN0487,835.57,9
20231017,4,P005,Audio Devices,Product 10,TN0488,2370.05,9
20220203,5,P048,Action Cameras,Product 43,TN0489,4610.22,3
20230625,6,P025,Action Cameras,Product 37,TN0490,4272.85,4
20230929,7,P019,E-readers,Product 45,TN0491,1167.2,7
20220820,1,P017,Smartphones,Product 45,TN0492,943.4,8
20230921,5,P026,Wearable Tech,Product 24,TN0493,3404.92,2
20230831,7,P002,Action Cameras,Product 30,TN0494,1308.61,9
20220126,5,P017,Smartphones,Product 38,TN0495,4034.25,4
20221019,5,P045,Televisions,Product 13,TN0496,3015.08,7
20230710,6,P038,Smart Home,Product 46,TN0497,2336.16,3
20221010,4,P004,Audio Devices,Product 11,TN0498,2233.31,9
20230830,7,P040,Wearable Tech,Product 29,TN0499,1767.98,2
20220620,6,P022,Action Cameras,Product 2,TN0500,3222.45,3
